asset_id,type,uri
projects/akveg-map/assets/disturbance/most_recent_fire_year_v20250430,IMAGE_COLLECTION,gs://akveg-data/disturbance/akcan/mrfy_lfg1_2000_2023_v20250430_ak_3338_30m0000000000-0000000000.tif
projects/akveg-map/assets/disturbance/nbac_annual_v20240530_102001,IMAGE_COLLECTION,gs://akveg-data/disturbance/nbac/v20240530/cog_102001/nbac_30m_102001_v20240530_1972.tif
projects/akveg-map/assets/disturbance/nbac_annual_v20240530_lf_3338,IMAGE_COLLECTION,gs://akveg-data/disturbance/nbac/v20240530/cog_lf_3338/nbac_30m_3338_v20240530_1972.tif
projects/akveg-map/assets/dynamic_world_metrics/s2_dw_monthly_counts_mgrs_v20250414b,IMAGE_COLLECTION,gs://akveg-data/s2_dw_v1_metrics/s2_dw_monthly_counts_mgrs_v20250414b/s2_dw_counts_mgrs_month05_01UBS_v20250414.tif
projects/akveg-map/assets/dynamic_world_metrics/s2_dw_percentages_56789_v20250414,IMAGE_COLLECTION,gs://akveg-data/s2_dw_v1_metrics/s2_dw_pct_akalb_050_v20250414/s2_dw_pct_56789_AK050H01V31_v20250414.tif
projects/akveg-map/assets/foliar_cover/akveg_foliar_cover_v2p0,IMAGE_COLLECTION,gs://akveg-data/rasters_cog/round_20241124_v20250502/alnus_10m_3338.tif
projects/akveg-map/assets/reflectance_vhr/landsat_ccdc_sr,IMAGE_COLLECTION,gs://akveg-data/vhr/landsat_ccdc_sr/ccdc_20070621_214244.tif
projects/akveg-map/assets/reflectance_vhr/ortho_toa_images,IMAGE_COLLECTION,gs://akveg-data/vhr/ortho_toa_images/MS4_2m_20070621_214244_QB02_1010010005B35C00_v20250301103812.tif
projects/akveg-map/assets/reflectance_vhr/ortho_toa_images_cloud,IMAGE_COLLECTION,gs://akveg-data/vhr/ortho_toa_images_cloud/cloud_MS4_2m_20070621_214244_QB02_1010010005B35C00_v20250302162747.tif
projects/akveg-map/assets/s1_2022_v20230326,IMAGE_COLLECTION,gs://akveg-data/s1_2022_v20230326/s1_flat_seasonal_2022_AK050H01V31_v20230326.tif
projects/akveg-map/assets/s2_sr_2019_2022_gMedian_v20230418,IMAGE_COLLECTION,gs://akveg-data/s2_sr_2019_2022_gMedian_v20230418/s2_sr_2019_2022_gMedian_AK050H39V02_earlySummer_v20230418.tif
projects/akveg-map/assets/s2_sr_2019_2022_gMedian_v20230420,IMAGE_COLLECTION,gs://akveg-data/s2_sr_2019_2022_gMedian_v20230420/s2_sr_2019_2022_gMedian_AK050H01V31_earlySummer_v20230420.tif
projects/akveg-map/assets/s2_sr_2019_2023_gMedian_v20240311,IMAGE_COLLECTION,gs://akveg-data/s2_sr_2019_2023_gMedian_v20240311/s2_sr_2019_2023_gMedian_AK050H01V31_all_v20240311.tif
projects/akveg-map/assets/s2_sr_2019_2023_gMedian_v20240710,IMAGE_COLLECTION,gs://akveg-data/s2_sr_2019_2023_gMedian_v20240710/s2_sr_2019_2023_gMedian_AK050H01V31_all_v20240710.tif
projects/akveg-map/assets/s2_sr_2019_2023_gMedian_v20240713d,IMAGE_COLLECTION,gs://akveg-data/s2_sr_2019_2023_gMedian_v20240713d/s2_sr_2019_2023_gMedian_AK050H01V31_all_v20240713d.tif
projects/akveg-map/assets/s2_sr_2019_2023_median_midsummer_v20240724,IMAGE_COLLECTION,gs://akveg-data/s2_sr_2019_2023_median_v20240724/Sent2_Midsummer_2019_2023_10m_3338.tif0000000000-0000000000.tif
